Job Title,Company Name,Location,Working Days,Job Type,Key Indicators,Job Description,Job Conditions
کارشناس هوش مصنوعی - آقا,تحقیق و توسعه آپا,"{'City': 'تهران', 'Neighborhood': '، آرژانتین'}",شنبه تا چهارشنبه,تمام وقت,[],"['شرکت تحقیق و توسعه آپا \xa0برای تکمیل تیم توسعه هوش مصنوعی خود به صورت تمام وقت حضوری و امریه سربازی نیازمند توسعه دهندگان با توانایی زیر است', 'متقاضیان باید حداقل دارای:', '1. مدرک کارشناسی در زمینه های مهندسی برق، کامپیوتر و هوش مصنوعی', '2. تسلط به یکی از نرم افزار python', '3. تسلط به بینایی ماشین، پردازش زبان طبیعی، پردازش صوت و تحیلی انواع داده', '4. تسلط به مفاهیم داده های کلان', 'و اولویت های برای جذب:', '1. دانشجو یا فارغ التحصیل دانشگاه های برتر', '2. آشنایی MLOPS', '3. آشنایی با مفاهیم شی گرایی']","[('سن', '22 - 36 سال'), ('جنسیت', 'فقط آقا'), ('تحصیلات', 'کارشناسی|کامپیوتر / فناوری اطلاعاتکارشناسی|مهندسی برقکارشناسی|مهندسی مکانیک'), ('زبان', 'انگلیسی|متوسط ۵۰٪')]"
کارشناس پایگاه داده Oracle DBA,توسن تکنو,"{'City': 'تهران', 'Neighborhood': '، سعادت آباد'}",شنبه تا چهارشنبه 8 تا 17,تمام وقت,"['Oracle Database - پیشرفته', 'Oracle ERP - پیشرفته']","['مسلط به معماری پایگاه داده اوراکل', 'مسلط به نصب و راه اندازی', '• Oracle Database 11g,12,19c', '• Oracle Data Guard', '• Oracle RAC', '• توانایی مدیریت، مانیتورینگ و نگهداری دیتابیس نسخه های 11g,12c,19c', '• توانایی کار با \xa0Oracle Data Guard', '• توانایی کار با \xa0ASM', '• توانایی انجام upgrade و اعمال \xa0patch', '• توانایی کار به کلود کنترل اوراکل', '• توانایی عیب یابی و رفع مشکل', '• توانایی انجام R&D و پیاده سازی قابلیت های جدید در حوزه پایگاه داده', '• آشنا با مفاهیم \xa0Oracle RAC', '• آشنا با حوزه \xa0Backup & Recovery', '• آشنا با \xa0Oracle Golden Gate', 'ویژگی های فردی مورد انتظار:', 'نظم و تعهد کاری', 'توانایی حل مشکلات و چالش های پیچیده', 'انجام وظایف محوله با دقت و کیفیت', 'متعهد به زمانبندی', 'علاقه مند به یادگیری و پیشرفت', 'مستعد و خلاق', 'پایبند به اصول اخلاقی و رفتار حرفه ای در تعاملات سازمانی', 'توانمند در کار تیمی']","[('سن', '22 - 35 سال'), ('جنسیت', 'تفاوتی ندارد'), ('نرم افزارها', 'Oracle ERP|پیشرفتهOracle Database|پیشرفته')]"
مدرس علم داده,دفتر بنیاد مدیریت کیفیت اروپا,"{'City': 'تهران', 'Neighborhood': '، شهرک غرب'}",با  توجه به زمان بندی کلاس ها اعلام خواهد شد,قراردادی / پروژه ای,[],"['دفتر بنیاد مدیریت کیفیت اروپا(EFQM) در راستای اهداف این مرکز و به منظور تکمیل کادر حرفه ای خود به دنبال جذب اساتید مجرب در رشته علم داده می باشد.', 'برای پیوستن به تیم حرفه ای این مرکز توجه به نکات زیر الزامی است:', '1.مدرسین می بایست سابقه حضور حرفه ای در بازار کار در رشته ی\xa0 آموزشی ذکر شده را داشته باشند.', '2.سرفصل های آموزشی ارائه شده توسط هر مدرس می بایست ترکیبی از دانش نظری و مهارت های حرفه ای مورد نیاز در بازار کار باشد.', '3.مدرس می بایست برنامه زمانی منعطفی برای برگزاری کلاس ها داشته باشد.']","[('سن', 'از 26 سال'), ('جنسیت', 'تفاوتی ندارد'), ('تحصیلات', 'کارشناسی ارشد|کامپیوتر / فناوری اطلاعات'), ('زبان', 'انگلیسی|متوسط ۵۰٪')]"
کارشناس نگهداری و تعمیرات پیشرفته (pdm),پیشگامان نگهداشت هوشمند دارایی,"{'City': 'مشهد', 'Neighborhood': ''}",شنبه  تا چهارشنبه 8:00 الی 17:0، پنجشنبه  8:00 الی 14:00، پنجشنبه در میان تعطیل,تمام وقت,[],"['آشنا به تکنیک های نگهداری و تعمیرات', 'آشنا به نگهداشت مبتنی بر وضعیت', 'آشنا به تکنیک های پایش وضعیت', 'آشنابه مباحث آماری و مدلسازی ریاضی', 'تسلط نسبی به الگوریتم های یادگیری ماشین و\xa0 داده کاوی']","[('جنسیت', 'تفاوتی ندارد'), ('تحصیلات', 'کارشناسی ارشد|کامپیوتر / فناوری اطلاعاتکارشناسی ارشد|مهندسی صنایع'), ('زبان', 'انگلیسی|متوسط ۵۰٪')]"
Data Engineer,Soshyant,"{'City': 'Tehran', 'Neighborhood': "", Sa'adat Abad""}",Saturday to Wednesday From 9 to 18,Full Time,['6 years experience in similar position'],"['Job description:', 'Requirements:']","[('Gender', 'Men / Women')]"
توسعه دهنده پایگاه داده,تیم یار,"{'City': 'کرج', 'Neighborhood': '، شهرک بنفشه'}",شنبه تا چهارشنبه ساعت 8 تا 17,تمام وقت,['MySql - متوسط'],[],"[('سن', '26 - 36 سال'), ('جنسیت', 'تفاوتی ندارد'), ('تحصیلات', 'کارشناسی|کامپیوتر / فناوری اطلاعات'), ('زبان', 'انگلیسی|بالاتر از متوسط ۷۰٪'), ('نرم افزارها', 'MySql|متوسط')]"
Senior Data Analyst - SnappBox,Snapp,"{'City': 'Tehran', 'Neighborhood': ', Vanak'}",Sat to Wed - 9 to 18,Full Time,"['3 years experience in similar position', 'Bachelor Computer and IT']","['We are looking for a motivated and energetic data analyst to assist us in recommending the best product and launch strategies. The responsibilities include working closely with different stakeholders within the company, designing product experimentations, monitoring, and also analyzing data to provide the best product recommendations in cooperation with the product team.', 'The main responsibilities will be:', 'Doing relevant data analysis projects to help the decision makings of the business.', 'Designing experimentations to measure the real impact of the new features/ products.', 'Create and monitor various dashboards and provide routine reports.', 'Work with other company departments to improve the analysis and presentation of products', 'Doing regular detailed product performance analysis, identifying the gaps, and proposing solutions in cooperation with the product team.', 'Requirements:', ""Bachelor's or Master's degree in Computer Science, Engineering, or a similar relevant field"", 'At least one year of relevant experience', 'Statistic knowledge', 'Good Knowledge of Python, R, and SQL.', 'Good with numbers', 'Great Analytical Skills for problem-solving', 'Good English Skills', 'Good communication Skills', 'Fast Learner']","[('Gender', 'Men / Women'), ('Education', 'Bachelor|Computer and IT'), ('Language', 'English|Upper Intermediate 70%'), ('Software', 'Python|AdvancedSQL/DS|Advanced')]"
SQL Data Developer,عالیفرد - سن ایچ,"{'City': 'تهران', 'Neighborhood': '، قائم مقام'}",از شنبه تا سه شنبه ساعت 8 الی 17، چهارشنبه ها 8 الی 16,تمام وقت,"['Microsoft Excel - پیشرفته', 'PowerBI - متوسط']","['شاخص های کلیدی:', '- حداقل 3 سال سابقه کاری در زمینه بانک های اطلاعاتی SQL', '- تسلط به زبان انگلیسی', '- آشنا به مفاهیم و معماری انبار داده', 'ویژگی های عمومی:', '. دارای مهارت ارتباطی بالا و روحیه کار تیمی', '. توانایی حل مساله', 'مهارت های تخصصی و تکنیکال:', '. تسلط به پایگاه های اطلاعاتی SQL به خصوص MS SQL Server', '. تسلط به مفاهیم هوش تجاری و ETL', '. آشنا به معماری و مفاهیم انبار داده (Datawarehouse)', '. آشنا به نرم افزارهای ERP و نحوه استخراج اطلاعات از آنها', '. آشنا به نرم افزار MS Excel', '. آشنا به نرم افزارهای هوش تجاری از جمله Qlikview و Power BI', 'وظایف و مسئولیت های کلیدی:', '. استخراج داده از بانک های اطلاعاتی نرم افزارهای سازمان (Rahkaran)', '. پاک سازی (Cleansing) و اعمال تغییرات (Transform) و بارگذاری اطلاعات در انبار داده', '. شناسایی و رفع باگ کلیه ETL های موجود و جدید', '. مدیریت کلیه بانک های اطلاعاتی تیم هوش تجاری (پشتیبان گیری، نگهداری، آشنا به حل مشکلات سخت افزاری / شبکه)', '. بهینه سازی زمان و منابع مصرفی کلیه ETL های موجود و جدید', '. ارتباط با سایر اعضای تیم و واحدها جهت طراحی و پیاده سازی ETL ها']","[('سن', '25 - 35 سال'), ('جنسیت', 'تفاوتی ندارد'), ('خدمت سربازی', 'اتمام خدمت سربازی و یا معافیت از آن الزامی است'), ('تحصیلات', 'کارشناسی|کامپیوتر / فناوری اطلاعاتکارشناسی|مهندسی صنایع'), ('زبان', 'انگلیسی|بالاتر از متوسط ۷۰٪'), ('نرم افزارها', 'PowerBI|متوسطMicrosoft Excel|پیشرفته')]"
Business Intelligence Analyst,سه کلیک,"{'City': 'تهران', 'Neighborhood': '، شریعتی'}",شنبه تا چهارشنبه 9 تا 18 پنجشنبه ها 9 تا 14,تمام وقت,"['Sql Server - متوسط', 'T-Sql - متوسط', 'PowerBI - متوسط', 'SSIS - متوسط']","['• تسلط به مباحث T-SQL در حوزه SQL Server', '• تسلط به مفاهیم هوش تجاری به سبک مایکروسافت (SSDT)', '• تسلط به فرآیندهای ETL در ابزار SSIS', '• تسلط به تحلیل و طراحی انباره داده (DWH)', '• تسلط به نرم افزار Power BI Desktop یا مشابه']","[('جنسیت', 'تفاوتی ندارد'), ('نرم افزارها', 'T-Sql|متوسطSql Server|متوسطSSIS|متوسطPowerBI|متوسط')]"
برنامه نویس هوش مصنوعی,فراهوش,"{'City': 'نجف آباد', 'Neighborhood': ''}",شنبه تا پنجشنبه ساعت 8 تا 15,تمام وقت یا پاره وقت,['Python - متوسط'],"['جای شما در تیم استارتاپی فراهوش خالیه...!', 'شرکت ایده فراهوش پویا سوران به چند نفر همکار برای تکمیل پروژه خود با دریافت مقداری از سهام شرکت نیاز \xa0دارد:', 'با توجه به اینکه هر تیم در زمان لانچ محصول نیاز به تیمی دارد که بتوانند در تمامی مراحل بصورت کامل روی پروژه باشند؛ هیات مدیره شرکت به آزاد سازی سهام اقدام کرده است.', 'در حال حاضر کمتر از یک ماه به تکمیل پروژه مانده است و بیش از یک میلیارد تومان در پروژه هزینه شده است با حضور در تیم بصورت رسمی و قانونی دریافت کننده سهام میشوید.', 'درصورت ادامه همکاری پروژه امریه در صورت مهیا شدن شرایط اعطا خواهد شد.', 'شرح وظایف', 'به عنوان متخصص هوش مصنوعی برای ابزارهای یادگیری و پلتفرم آموزشی در فراهوش، شما نقش کلیدی در طراحی، توسعه و اجرای راهکارهای هوش مصنوعی پیشرفته را دارید که تجربه یادگیری دانش آموزان را بهبود بخشند و قابلیت های پلتفرم آموزشی ما را ارتقا دهند. شما با تیمی کوچک ولی متخصص از مهندسین، طراحان و مربیان در حوزه آموزش همکاری خواهید کرد تا راهکارهای نوآورانه ای ایجاد کنید که نیازهای مختلف یادگیرندگان و مدرسین را برآورده کند.', 'مسئولیت ها', 'تحقیق، توسعه و پیاده سازی الگوریتم ها و مدل های هوش مصنوعی برای ابزارهای یادگیری و پلتفرم آموزشی', 'طراحی و نظارت بر یکپارچگی مؤلفه های هوش مصنوعی در ابزارهای یادگیری و پلتفرم آموزشی ما', 'همکاری با سایر تیم های مجموعه برای جمع آوری نیازمندی ها، تعریف ویژگی ها و ارائه راهکار در مورد جوانب مربوط به هوش مصنوعی', 'کاوش و ارزیابی مداوم فناوری ها و روش های جدید هوش مصنوعی در حوزه آموزش', 'تحلیل داده ها و ارائه برآوردهایی برای بهبود کارایی و شخصی سازی ابزارهای یادگیری و پلتفرم آموزشی ما', 'همکاری نزدیک با مدرسان مجموعه و طراحان آموزشی برای درک نیازهای آنها و توسعه ویژگی های مبتنی بر هوش مصنوعی که اهداف آموزشی آنها را پشتیبانی می کند', 'به روز بودن با جریان جدیدترین روندها و پیشرفت های هوش مصنوعی و آموزشی و ارائه راه حل های نوآورانه و پیشگام.', 'الزامات', 'مدرک کارشناسی ارشد در رشته \xa0هوش مصنوعی', 'فهم قوی از الگوریتم های یادگیری ماشین، معماری های یادگیری عمیق و تکنیک های پردازش زبان طبیعی و بینایی ماشین', 'مهارت در زبان های برنامه نویسی به خصوص پایتون و چارچوب هایی مانند TensorFlow یا PyTorch', 'تجربه در تجزیه و تحلیل داده ها، پیش پردازش داده ها و مهندسی ویژگی', 'مهارت های قوی حل مسئله و توانایی تبدیل نیازهای تجاری به راه حل های هوش مصنوعی', 'مهارت های برقراری ارتباط و همکاری بالا، با توانایی کار مؤثر در محیط استارتاپ', 'علاقه مندی به حوزه آموزش و اراده قوی برای ایجاد تأثیر مثبت در این حوزه', 'مهارت های نوشتاری و کلامی عالی به زبان انگلیسی', 'آشنایی با ساخت API برای مدل های هوش مصنوعی مزیت محسوب میشود', 'مزایا', 'محیط کاری انعطاف پذیر و حامی که از خلاقیت و نوآوری استقبال میکند', 'فرصت کار با تیمی پویا و با استعداد از متخصص هایی که دغدغه ی تحول سیستم آموزش را دارند', 'حمایت از توسعه و پیشرفت فردی در بستر مجموعه', 'به روز بودن با آخرین روندها و پیشرفت های در حوزه هوش مصنوعی و آموزش و ارائه راه حل های نوآورانه', 'فرصتی برای تأثیرگذاری واقعی بر دنیای آموزش', 'فرصتی برای کار بر روی پروژه های پیشرفته هوش مصنوعی', 'اطلاعات تکمیلی و شرایط کار', 'تمام وقت(35 ساعت در هفته)', 'هیبریدی (حضوری/دورکاری)', 'ترجیحا ساکن تهران، اما در صورتی که امکان شرکت در جلسات آخر اسپرینت را به صورت حضوری دارید ما پذیرای همکاران ریموت نیز هستیم.', 'لطفا بصورت دقیق آگهی را مطالعه کنید سپس اقدام به ارسال رزومه نمایید؛ با توجه به نوع همکاری افراد واجد شرایط باید تمام فیچرهای فنی را داشته باشند.', 'پارک علمی فناوری نجف آباد']","[('سن', '24 - 40 سال'), ('جنسیت', 'ترجیحاً خانم'), ('نرم افزارها', 'Python|متوسط')]"
کارشناس تست و تحلیل داده - آقا,سازمانی فعال در حوزه خدمات مهندسی و تخصصی,"{'City': 'تهران', 'Neighborhood': '، پیروزی'}",شنبه تا چهارشنبه از ساعت 8:00 تا 16:30 و پنج شنبه ها از ساعت 8:00 تا 12:00,تمام وقت,"['Microsoft Word - متوسط', 'Microsoft Excel - پیشرفته', 'Microsoft Powerpoint - متوسط', 'MATLAB - پیشرفته']","['بررسی و تحلیل داده های تست', 'مسلط به نرم افزار MATLAB']","[('سن', '22 - 40 سال'), ('جنسیت', 'فقط آقا'), ('خدمت سربازی', 'اتمام خدمت سربازی و یا معافیت از آن الزامی است'), ('تحصیلات', 'کارشناسی ارشد|ریاضی و آمارکارشناسی ارشد|فیزیککارشناسی ارشد|مهندسی هوافضا'), ('زبان', 'انگلیسی|متوسط ۵۰٪'), ('نرم افزارها', 'MATLAB|پیشرفتهMicrosoft Word|متوسطMicrosoft Excel|پیشرفتهMicrosoft Powerpoint|متوسط')]"
کارشناس data science,تحلیل و توسعه رایانه افزار پارس مهر,"{'City': 'شیراز', 'Neighborhood': ''}",شنبه تا پنج شنبه ساعت 9 الی 17,تمام وقت,"['Sql Server - متوسط', 'Python - پیشرفته', 'JavaScript - پیشرفته', 'Hadoop - متوسط', 'Oracle NoSQL - متوسط']","['مدرک تحصیلی:', 'کارشناس و مدارج بالاتر در رشته های ریاضیات، آمار، مهندسی کامپیوتر، علوم کامپیوتر، مهندس فناوری اطلاعات، مهندسی برق،مهندسی صنایع، مدیریت ارشد کسب و کار(MBA) ، مدیریت سیستم های اطلاعاتی(MIS) و رشته های مرتبط', 'شرایط احراز:', 'تسلط به زبان انگلیسی ( مهارت گفتاری و توشتاری)', '· \xa0 \xa0 \xa0 \xa0مسلط به زبان های برنامه نویسی python \xa0و R', '· \xa0 \xa0 \xa0 \xa0آشنا با مفهوم TensorFlow', '· \xa0 \xa0 \xa0 \xa0آشنا به مفاهیم پایگاه داده با بهره گیری از Java/JavaScript و SQL (Oracle و SQL Server)', '· \xa0 \xa0 \xa0 \xa0دارای روحیه کار تیمی و مهارت ارتباطی قوی', '· \xa0 \xa0 \xa0 \xa0دارای تفکر تحلیلی', 'تجربه در حوزه ذخیره و پردازش داده های بزرگ با ابزارهایی از جمله HADOOP امتیاز محسوب می شود.', 'شرح وظایف و مسئولیت ها:', '· \xa0 \xa0 \xa0 \xa0تجزیه و تحلیل مستقل و آماده سازی داده ها', '· \xa0 \xa0 \xa0 \xa0آمارگیری،تهیه داشبرد های مدیریتی و تضمین کیفیت داده ها', '· \xa0 \xa0 \xa0 \xa0مفهوم سازی مدل های تحلیل و پیش بینی با استفاده از machine learning', '· \xa0 \xa0 \xa0 \xa0توسعه روش ها و رویه های موجود در زمینه تجزیه و تحلیل داده ها', '· \xa0 \xa0 \xa0 \xa0آماده سازی نتایج و تصویر سازی داده ها', '· \xa0 \xa0 \xa0 \xa0تجزیه و تحلیل و پیاده سازی الزامات']","[('جنسیت', 'تفاوتی ندارد'), ('خدمت سربازی', 'اتمام خدمت سربازی و یا معافیت از آن الزامی است'), ('تحصیلات', 'کارشناسی|کامپیوتر / فناوری اطلاعاتکارشناسی|مهندسی برقکارشناسی|مهندسی صنایعکارشناسی|ریاضی و آمار'), ('نرم افزارها', 'Sql Server|متوسطOracle NoSQL|متوسطHadoop|متوسطPython|پیشرفتهJavaScript|پیشرفته')]"
کارشناس هوش تجاری (BI),توسعه راهکارهای هوشمند آریس,"{'City': 'تهران', 'Neighborhood': '، میرداماد'}",شنبه تا چهارشنبه 9 تا 6 با یک ساعت شناوری پنجشنبه ها تعطیل,تمام وقت,"['Microsoft Word - متوسط', 'Microsoft Excel - پیشرفته', 'Microsoft Visio - متوسط', 'Sql Server - متوسط', 'PowerBI - پیشرفته', 'SSRS - متوسط']","['ویژگی های تخصصی:', 'سایر نیازمندی ها:']","[('جنسیت', 'ترجیحاً آقا'), ('نرم افزارها', 'Microsoft Word|متوسطMicrosoft Excel|پیشرفتهMicrosoft Visio|متوسطPowerBI|پیشرفتهSSRS|متوسطSql Server|متوسط')]"
کارشناس هوش مصنوعی و فناوری اطلاعات,اداره کل تحقیقات و جهادخودکفایی,"{'City': 'تهران', 'Neighborhood': '، محمودیه'}",شنبه تا چهارشنبه,تمام وقت,"['Microsoft Word - متوسط', 'Microsoft Excel - متوسط', 'Microsoft Powerpoint - متوسط']","['آشنا به توسعه برنامه تحت وب', 'تسلط به پایگاه داده', 'آشنا به هوش مصنوعی و مفاهیم یادگیری عمیق', 'آشنا به مفاهیم و ابزارهای امنیتی در حوزه IT', 'علاقمند به کار پژوهشی و تحقیقاتی کاربردی در زمینه فناوری اطلاعات و هوش مصنوعی', 'تسلط به یک زبان برنامه نویس شی گرا', 'علاقمند به کار تیمی', 'شرایط احراز عمومی:', 'تحصیلات حداقل کارشناسی ارشد از دانشگاه های معتبر دولتی\xa0 با معدل بالای 16', 'جذب به صورت قرارداد (ساعتی) و براساس فرآیند اداری و دولتی صورت می گیرد.', '-جذب به صورت طرح امریه برای دانشجویان کارشناسی ارشد به بالا امکان پذیر می باشد.']","[('سن', '23 - 35 سال'), ('جنسیت', 'ترجیحاً آقا'), ('تحصیلات', 'کارشناسی ارشد|کامپیوتر / فناوری اطلاعاتکارشناسی ارشد|مهندسی برق'), ('زبان', 'انگلیسی|بالاتر از متوسط ۷۰٪'), ('نرم افزارها', 'Microsoft Word|متوسطMicrosoft Powerpoint|متوسطMicrosoft Excel|متوسط')]"
کارشناس تحلیل داده,کانون تبلیغاتی ایران نوین,"{'City': 'تهران', 'Neighborhood': '، پارک وی'}",شنبه تا چهارشنبه 9 الی 18,تمام وقت,"['Microsoft Excel - متوسط', 'PowerBI - متوسط']","['تسلط به ابزارهای گزارش گیری و داشبوردهای مدیریتی', 'گردآوری، به روز رسانی، و پردازش داده ها و اطلاعات برای تصمیم گیری مدیریتی', 'دانش و تجربه سیستم ها و استراتژی های تحلیل آماری و ارزیابی', 'آشنا به power BI', 'مسلط به آمار و تحلیل داده', 'تجربه Data Visualization', 'مهارت های تحلیلی قوی', 'مسلط به نرم افزار \xa0Excel']","[('سن', '20 - 30 سال'), ('جنسیت', 'تفاوتی ندارد'), ('تحصیلات', 'کارشناسی|مهندسی صنایع'), ('زبان', 'انگلیسی|متوسط ۵۰٪'), ('نرم افزارها', 'Microsoft Excel|متوسطPowerBI|متوسط')]"
منتور علم داده (Data Mentor),گلرن,"{'City': 'اهواز', 'Neighborhood': ''}",قابل مذاکره,قراردادی / پروژه ای,"['Sql Server - متوسط', 'MySql - مقدماتی', 'PostgreSql - مقدماتی', 'Python - متوسط']","['گُل اِرن با توجه به رسالتی که در زمینه توسعه مهارت و تجربه کارجویان(منتی ها) دارد، به صورت فوری و ویژه برنامه جدیدی را با دعوت از متخصصان داخل و خارج از کشور برای همکاری به عنوان منتور در برنامه های منتورینگ اختصاصی خود شروع کرده است. هدف ما از این کار پر کردن گپ کیفی بین نیاز بازار کار(به ویژه خارج از کشور) و نیروی کار در این پوزیشن شغلی به صورتی کاملا هدفمند و سیستمیک است.', 'منتور در تیم گلرن همان فرد متخصصی است، که با وجود همکاری تمام وقت یا پروژه ای در مجموعه های دیگر، دغدغه رشد و تعالی انسان ها به هدف رشد بازار کار و جامعه را نیز دارد.', 'لازم به ذکر است ما بیش از هر چیز به شایستگی، علاقه، استعداد و تناسب شما با این پوزیشن شغلی و فرهنگ سازمانی تیم اهمیت می دهیم. بنابراین قبل از شروع هرگونه همکاری و امضای قرارداد، لازم است در روند ارزیابی تخصصی، رفتاری و عمومی گلرن شرکت کنید. همچنین در طی مدت همکاری نیز به صورت مداوم تجارب و آموخته های خود را با شما به اشتراک می گذاریم.', 'بنابراین اگر میخواهی تجارب ارزشمندت را به دستان توانمند گره بزنی و پرواز را نشانه بگیری، منتظرت هستیم.', 'نکته مهم: پس از ارسال رزومه از طریق ایمیل فرایند ارزیابی و جزئیات کامل+ لینک سایت برای شما ارسال خواهد شد. لطفا تا حداکثر 30 روز کاری پس از ارسال رزومه، ایمیل های دریافتی و پوشه اسپم خود را بررسی کنید.', 'ویژگی های ضروری برای منتور شدن', 'سابقه همکاری حداقل 3 ساله در تیم های حداقل 5 نفره و پروژه های چالش برانگیز', 'مهارت مربیگری و پرسیدن سوالات مناسب با هدف پیدا کردن چالش ها و مسائل بنیادی افراد', 'بلوغ کافی در مهارت های فردی، تصمیم گیری، حل مساله، شنوندگی فعال و مدیریت زمان', 'آشنایی کافی با روش ها و استراتژی های مدیریت پروژه و تعریف تسک با تعریف OKR و KPI', 'تجربه قبلی کار تیمی، اصول پیگیری کار و برقراری ارتباط بهینه با افراد تازه کار', 'تسلط بر زبان انگلیسی در حد IELTS General 6 برای همکاری در مسیر شغلی «ورود به بازار کار بین المللی»', 'مهارت های قابل یادگیری حین همکاری', 'بروز رسانی و یادگیری مداوم دانش و مهارت ارزشمند منتورینگ از منابع مختلف', 'کار با ابزارهای گوگل نظیر: گوگل میت، گوگل شیت، گوگل داک، \xa0گوگل شیت و…', 'ارزیابی عملکرد متناسب با تسک و خروجی های هر منتی طبق روش کاری شرکت', 'رسیدن به سطح آمادگی کار با مدل ها و سیستم های منتورینگ روز دنیا', 'تعریف تسک و کار برای هر منتی متناسب با تسک استاندارد', 'انتظار گلرن از منتورها', '1- تعریف تسک (با فرمت تسک شیت استاندارد منتورینگ)', '2- برگزاری جلسات منظم منتورینگ(زمان جلسات کاملا منعطف است)', '3- پشتیبانی فنی٬ پیگیری و نظارت پیوسته بر مسیر و خروجی ها', '4- ارزیابی عملکرد و ارایه بازخورد از هر منتی', 'داشتن حداقل 3 سال سابقه کار رسمی در حداقل 1 یا چند مورد از عناوین شغلی زیر بسیار حیاتی است:', 'تحلیل گر هوش تجاری: (Business Intelligence Analyst)', 'تحلیل گر داده های دیجیتال مارکتینگ:(Digital Marketing Data Analysts)', 'تحلیل گر داده های منابع انسانی:(Human Resource Data Analyst)', 'معمار و تحلیلگر داده های مالی :(Financial Data Analysts & Architect)', 'مهندسی داده (Data Engineer)', 'مهندسی یادگیری ماشین:(Machine Learning Engineer)', 'صاحب محصول داده:(Data Product Owner)', 'مهندسی بصری سازی داده:(Data Visualization Engineer)', 'مدیریت داده :(Data Ops)', 'پژوهشگر داده:(Research Scientist)', 'دانشمند داده: (Data Scientist)', 'نحوه ورود و شروع همکاری', 'مرحله اول: تکمیل فرم درخواست ارزیابی در سایت گلرن(پس از ارسال رزومه به ایمیل شما ارسال می گردد)', 'مرحله دوم: تعریف تسک آزمایشی', 'مرحله سوم: مصاحبه با مدیر برنامه و مدیرعامل', 'مرحله چهارم: همکاری آزمایشی', 'مرحله پنجم: شروع همکاری رسمی', 'با تشکر', 'تیم تجربه انسانی تیم گلرن', 'شرکت توسعه کسب و کار چابک']","[('سن', '24 - 38 سال'), ('جنسیت', 'تفاوتی ندارد'), ('تحصیلات', 'کارشناسی ارشد|کامپیوتر / فناوری اطلاعات'), ('زبان', 'انگلیسی|پیشرفته ۹۰٪'), ('نرم افزارها', 'PostgreSql|مقدماتیMySql|مقدماتیSql Server|متوسطPython|متوسط')]"
کارشناس دیتابیس,فن آوا کارت,"{'City': 'تهران', 'Neighborhood': '، آرژانتین'}",شنبه تا سه شنبه 8 الی 17 چهارشنبه 8 الی 16,تمام وقت,['SSIS - پیشرفته'],"['1)\xa0 آشنایی با سرویس های پرداخت', '2)\xa0 تسلط به SQL Admin', '3)\xa0 \xa0تسلط به SQL Development', '4)\xa0 آشنایی به SSIS', '*کسانی که سابقه کار مرتبط داشته باشند از اولویت بیشتری برخوردارند.']","[('سن', 'از 23 سال'), ('جنسیت', 'تفاوتی ندارد'), ('خدمت سربازی', 'اتمام خدمت سربازی و یا معافیت از آن الزامی است'), ('نرم افزارها', 'SSIS|پیشرفته')]"
محقق داده (شبکه اجتماعی) - آقا,تحقیق و توسعه آپا,"{'City': 'تهران', 'Neighborhood': '، عباس آباد (بهشتی)'}",شنبه تا چهارشنبه,تمام وقت,[],"['شرکت تحقیق و توسعه آپا در حوزه تحلیل محتوای فضای مجازی از نیروهای با استعداد و متعهد با رشته های مهندسی متفاوت با شرایط ذیل دعوت به همکاری می نماید.', 'متقاضیان باید حداقل دارای:', '1. مدرک کارشناسی یا دانشجوی سال آخر این دوره', '2. سواد رسانه ای قابل قبول', '3. شخصیت منعطف و علاقمند به یادگیری', '4. روحیه ابتکار، نوآوری، تحول آفرینی و کارتیمی', '5. شناخت کافی از مختصات شبکه های اجتماعی و تحلیل محتوای آن', 'و اولویت های برای جذب:', '1. آشنایی با حداقل 2 زبان زنده دنیا', '2. آشنایی با جمع آوری اطلاعات آشکار', '3. آشنایی با یکی از زبان برنامه نویسی مهدسی مانند پایتون', '4. آشنایی با داده کاوی و توپولوژی شبکه']","[('سن', '20 - 35 سال'), ('جنسیت', 'فقط آقا'), ('زبان', 'انگلیسی|متوسط ۵۰٪')]"
BI Developer,BRgroup,"{'City': 'Tehran', 'Neighborhood': ', Vanak'}",saturday to wednesday as 09:00 to 17:30,Full Time,['3 years experience in similar position'],"['Job Description:', 'Helping our client organizations to see and understand their data through the means of our analytics and visualization tools.', 'Finding the most suitable business analytics solutions for different business needs by consulting, challenging, and asking the right questions.', 'Implement analytics platforms and support data-driven culture change in organizations.', 'Identifying possible bottlenecks and challenges that prevent data-driven culture to function.', 'Enabling analytical best practices that help data-driven decision-making.', 'Job Qualifications:', 'Experience in ODI', 'Fluent SQL', 'Fluent in bash linux', 'Experience in at least one of the programming languages (Python, Scala)', 'Experience in data storage and design and implementation of data integrations (ETL/ELT)', 'Familiar with modeling concepts (Star, snowflake, data vault)', 'Familiar with Big data tech stack (Apache Spark, HDFS, Hive, Impala, Kafka)', 'Experience in OBIEE and/or Power BI', 'Proactive attitude and excellent self-coordination skills', ""3+ years' experience in data platform / data warehouse projects"", 'Familiar with CI/CD concepts']","[('Gender', 'Men / Women'), ('Software', 'Python|IntermediateOracle WebLogic|IntermediatePL-SQL|AdvancedT-Sql|IntermediateOracle Database|IntermediatePowerBI|IntermediateTableau|BasicOracle BI|AdvancedODI|AdvancedSpark|IntermediateZookeeper|IntermediateHadoop|Intermediate')]"
